URL,(GDELT ONLINE),,Title,,,,
https://yubanet.com/world/its-dismaying-to-witness-the-president-of-the-u-s-adopting-alternative-names-for-the-covid-19-coronavirus-says-un-expert/,,3/24/2020 18:15,"It dismaying to witness the President of the U . S . adopting alternative names for the COVID - 19 Coronavirus , says UN expert",,,,
https://human-wrongs-watch.net/2020/03/24/white-supremacists-yellow-peril-and-chinese-virus-add-to-a-volatile-political-mix/,,3/24/2020 13:45,"White Supremacists , Yellow Peril and  Chinese Virus  Add to a Volatile Political Mix",,,,
https://www.ipsnews.net/2020/03/white-supremacists-yellow-peril-chinese-virus-add-volatile-mix/,,3/24/2020 17:15,"White Supremacists , Yellow Peril &  Chinese Virus  Add to a Volatile Political Mix",,,,
http://www.ipsnews.net/2020/03/white-supremacists-yellow-peril-chinese-virus-add-volatile-mix/,,3/24/2020 8:30,"White Supremacists , Yellow Peril &  Chinese Virus  Add to a Volatile Political Mix",,,,
https://www.salon.com/test/2020/03/19/republican-sen-john-cornyn-defends-trumps-racist-coronavirus-comments-with-more-racism/,,3/20/2020 2:45,Republican Sen . John Cornyn defends Trump racist coronavirus comments with more racism,,,,
https://www.realclearpolitics.com/articles/2020/03/29/coronavirus_bulldozes_the_2020_race_out_of_the_media_spotlight_142801.html,,3/29/2020 9:15,Coronavirus Bulldozes the 2020 Race Out of the Media Spotlight,,,,
http://www.ipsnoticias.net/2020/03/supremacia-blanca-xenofobia-virus-chino-coctel-tiempos-volatiles/,,3/25/2020 14:15,"Supremacía blanca , xenofobia y  virus chino , un coctel en tiempos volátiles",,,,
https://www.americanprogress.org/issues/race/news/2020/03/30/482407/coronavirus-pandemic-fueling-fear-hate-across-america/,,3/30/2020 16:30,The Coronavirus Pandemic Is Fueling Fear and Hate Across America - Center for American Progress,,,,
https://www.nbcnews.com/news/asian-america/politicians-journalists-celebrities-call-out-racist-remarks-against-asians-n1162351,,3/19/2020 18:45,"Politicians , journalists , celebrities call out racist remarks against Asians",,,,
https://thesource.com/2020/03/19/karrueche-tran-xenophobia/,,3/19/2020 21:30,Karrueche Tran Slams Xenophobia Against Asians Amid Coronavirus Pandemic,,,,
https://people.com/tv/jeannie-mai-condemns-coronavirus-racism-hate-will-get-you-sick-even-if-the-virus-doesnt/,,3/23/2020 22:45,Jeannie Mai Condemns Coronavirus Racism Against Asians,,,,
https://thegrio.com/2020/03/19/jeremy-lin-and-karrueche-tran-chinese-virus/,,3/19/2020 22:45,Jeremy Lin and Karrueche Tran blast  Chinese viru term,,,,
https://www.newsindiatimes.com/covid-19-racism-robot-in-times-square-and-chinese-proverbs/,,2/11/2020 23:15,"COVID - 19 : racism , robot in Times Square and Chinese proverbs",,,,
https://thehill.com/opinion/civil-rights/490127-strengthening-immunity-against-racism-through-solidarity,,3/30/2020 17:00,Strengthening immunity against racism through solidarity,,,,
https://www.bizpacreview.com/2020/02/09/media-blames-fears-about-coronavirus-on-american-racism-and-xenophobia-884929,,2/9/2020 14:00,Media blames fears about Coronavirus on American  racism  and  xenophobia  ,,,,
https://www.salon.com/2020/03/03/fox-news-host-claims-coronavirus-outbreak-was-caused-by-chinese-people-eating-raw-bats-and-snakes/,,3/4/2020 3:45,Fox News host claims coronavirus outbreak was caused by Chinese people  eating raw bats and snakes  ,,,,
https://vanderbilthustler.com/30499/featured/opinion-coronavirus-is-not-an-excuse-for-discrimination/,,2/16/2020 21:30,Opinion : Coronavirus is not an excuse for discrimination,,,,
http://www.nydailynews.com/coronavirus/ny-coronavirus-asian-americans-report-hundreds-of-racist-attacks-20200327-pglnpbrupnd3ppasu7uf2itanu-story.html,,3/27/2020 15:30,Coronavirus : Asian Americans report 673 attacks in a week,,,,
https://www.msn.com/en-us/news/us/asian-americans-report-nearly-700-racist-attacks-in-a-week-from-being-spat-on-and-screamed-at-to-full-on-physical-assaults/ar-BB11NCsF,,3/27/2020 15:15,"Asian Americans report nearly 700 racist attacks in a week , from being spat on and screamed at to full - on physical assaults",,,,
https://www.counterpunch.org/2020/04/03/why-a-race-is-not-a-virus-and-a-virus-is-not-a-race/,,4/3/2020 10:00,Why a Race is Not a Virus and a Virus is Not a Race,,,,
http://tucollegian.org/racism-and-myths-dominated-coronavirus-coverage/,,2/19/2020 4:15,Racism and myths dominated coronavirus coverage – The Collegian,,,,
https://www.freep.com/story/news/local/michigan/2020/03/19/chinese-virus-trump-racism-michigan/2871119001/,,3/19/2020 12:15,Chinese Americans in Michigan anxious about hate tied to coronavirus,,,,
http://www.thecolgatemaroonnews.com/commentary/article_41f81202-4ea4-11ea-b82e-b3fe427e2c16.html,,2/14/2020 0:30,The Racial Implications of Talking About Coronavirus,,,,
https://legalinsurrection.com/2020/04/uc-davis-student-newspaper-declares-criticism-of-the-chinese-communist-party-is-racist/,,4/7/2020 18:45,UC Davis Student Newspaper Declares Criticism of the Chinese Communist Party is Racist,,,,
https://www.wtsp.com/article/news/health/coronavirus/asian-discrimination-coronavirus/67-caaed816-c384-44ef-ad2c-1555bbcda5f7,,3/20/2020 12:15,"Coronavirus fuels discrimination , racist attacks against Asian community",,,,
https://www.phillytrib.com/news/health/coronavirus/city-council-condemns-anti-asian-rhetoric/article_71180363-1a60-550d-839d-567d1f4f1509.html,,4/9/2020 17:30,City Council condemns anti - Asian rhetoric,,,,
https://www.pennlive.com/news/2020/03/in-coronavirus-crisis-asians-in-pa-are-facing-more-discrimination-and-harassment.html,,3/28/2020 11:00,"In coronavirus crisis , Asians in Pa . are facing more discrimination and harassment",,,,
https://www.washingtonpost.com/local/education/on-americas-college-campuses-the-coronavirus-delivers-a-chill/2020/02/08/c90a1c50-49e4-11ea-9164-d3154ad8a5cd_story.html,,2/9/2020 0:45,"On America college campuses , the coronavirus delivers a chill",,,,
https://www.christianitytoday.com/news/2020/march/asian-american-christian-statement-coronavirus-racism.html,,3/31/2020 23:00,Asian Americans Call on the Church to Preach Against Coron ...... | News & Reporting,,,,
https://www.inquisitr.com/5965159/jeannie-mai-coronavirus/,,3/27/2020 2:00,  The Real  Jeannie Mai Calls Out Coronavirus Racism Against Asians :  Your Fear Is No Excuse  ,,,,
https://pro.psychcentral.com/clinicians-must-address-rise-in-hate-crimes-against-asian-americans/,,4/10/2020 19:15,Clinicians Must Address Rise in Hate Crimes Against Asian Americans,,,,
https://www.cnn.com/2020/03/03/uk/coronavirus-assault-student-london-scli-intl-gbr/,,3/3/2020 20:15,Chinese student assaulted in  racist  coronavirus attack in London,,,,
https://hollywoodlife.com/2020/03/19/karrueche-tran-donald-trump-chinese-virus-stop-instilling-hate/,,3/19/2020 14:30,Karrueche Tran On Donald Trump Chinese Virus Remarks :  Stop The Hate  – Hollywood Life,,,,
https://www.washingtonpost.com/politics/2020/04/01/americans-who-are-biased-against-asians-are-more-likely-fear-coronavirus/,,4/1/2020 10:45,Americans who are biased against Asians are more likely to fear the coronavirus,,,,
https://www.elnuevodia.com/opinion/columnas/coronavirusurgefrenarlaxenofobia-columna-2545769/,,2/9/2020 2:00,Coronavirus : urge frenar la xenofobia,,,,
https://www.nbcnews.com/think/opinion/coronavirus-fears-show-how-model-minority-asian-americans-become-yellow-ncna1151671,,3/9/2020 15:45,Coronavirus fears show how  model minority  Asian Americans become the  yellow peril  ,,,,
https://www.nbcnews.com/think/opinion/coronavirus-fears-show-how-model-minority-asian-americans-become-yellow-ncna1151671?cid=public-rss_20200310,,3/10/2020 2:45,Matthew Lee : Coronavirus fears show how  model minority  Asian Americans become the  yellow peril  ,,,,
https://www.nbcnews.com/think/opinion/coronavirus-fears-show-how-model-minority-asian-americans-become-yellow-ncna1151671?cid=public-rss_20200309,,3/9/2020 19:15,Coronavirus fears show how  model minority  Asian Americans become the  yellow peril  ,,,,
https://www.nbcnews.com/news/asian-america/asian-americans-report-nearly-500-racist-acts-over-last-week-n1169821?cid=public-rss_20200326,,3/26/2020 22:45,"Asian Americans report over 650 racist acts over last week , new data says",,,,
https://www.nbcnews.com/news/asian-america/asian-americans-report-nearly-500-racist-acts-over-last-week-n1169821,,3/26/2020 21:00,"Asian Americans report nearly 500 racist acts over last week , new data says",,,,
https://www.aljazeera.com/news/2020/02/chinese-canadians-denounce-rising-xenophobia-tied-coronavirus-200202191216923.html,,2/2/2020 22:15,Chinese Canadians denounce rising xenophobia tied to coronavirus,,,,
https://www.sandiegouniontribune.com/communities/san-diego/story/2020-04-09/asian-pacific-islander-organizations-issue-statement-against-hate-discrimination-amid-covid-19,,4/10/2020 2:15,"Asian Pacific Islander organizations issue statement against hate , discrimination amid COVID - 19",,,,
https://vanderbilthustler.com/31360/opinion/opinion-why-im-more-scared-of-anti-asian-hate-crimes-than-getting-the-coronavirus/,,4/7/2020 3:15,Opinion : Why Im more scared of Anti - Asian hate crimes than getting the coronavirus – The Vanderbilt Hustler,,,,
https://www.aljazeera.com/indepth/opinion/world-grips-epidemic-dangerous-coronavirus-200220183206485.html,,2/20/2020 20:15,The world in grips of an epidemic more dangerous than coronavirus,,,,
https://www.worldatlas.com/articles/groups-of-people-experiencing-social-stigma-because-of-covid-19.html,,4/3/2020 12:00,Groups Of People Experiencing Social Stigma Because Of Covid - 19,,,,
https://www.spokesman.com/stories/2020/apr/13/other-virus/,,4/13/2020 16:00,The other virus,,,,
https://goodmenproject.com/featured-content/how-to-respond-to-coronavirus-related-xenophobia-kpkn/,,4/5/2020 18:00,How to Respond to Coronavirus - Related Anti - Asian Xenophobia ? ,,,,
https://www.theeagle.com/opinion/columnists/americans-who-are-biased-against-asians-are-more-likely-to-fear-the-coronavirus/article_6d5028ef-0980-5576-b695-5ad3ff53ea90.html,,4/2/2020 0:30,Americans who are biased against Asians are more likely to fear the coronavirus,,,,
https://www.cbsnews.com/news/president-trump-coronavirus-chinese-virus-backlash/,,3/19/2020 13:30,Trump criticized for calling coronavirus  Chinese virus  ,,,,
https://www.patheos.com/blogs/redbudwritersguild/2020/03/naming-anti-asian-racism/,,4/1/2020 14:00,Naming Anti - Asian Racism,,,,
https://www.nbcnews.com/news/asian-america/asian-americans-report-nearly-500-racist-acts-over-last-week-n1169821?cid=public-rss_20200327,,3/27/2020 1:00,"Asian Americans report over 650 racist acts over last week , new data says",,,,
https://www.forbes.com/sites/tamarathiessen/2020/02/11/france-in-grips-of-racism-epidemic-as-coronavirus-fans-anti-asian-hysteria/,,2/11/2020 14:00,"France In Grips Of Racism Epidemic , As Coronavirus Fans Anti - Asian Hysteria",,,,
https://www.aljazeera.com/indepth/opinion/anti-asian-racism-stopped-normalised-200412103717485.html,,4/12/2020 19:45,Anti - Asian racism must be stopped before it is normalised,,,,
https://www.sandiegouniontribune.com/columnists/story/2020-03-29/history-has-shown-that-using-fear-as-an-excuse-for-racism-during-times-of-crisis-is-wrong-move,,3/29/2020 12:30,History has shown that using fear as an excuse for racism during times of crisis is wrong move,,,,
https://www.newsday.com/opinion/commentary/coronavirus-epidemic-china-hunan-wuhan-stigma-xenophobia-1.41781321,,2/15/2020 21:30,"As new coronavirus spreads , another epidemic looms",,,,
http://humanitariannews.org/20200324/world-states-should-take-action-against-covid-19-related-expressions-xenophobia-says-un-exp,,3/24/2020 0:00,"World : States should take action against COVID - 19 - related expressions of xenophobia , says UN expert",,,,
https://www.buzzfeed.com/cameronwilson/racism-coronavirus-media-chinese-australians,,1/30/2020 6:00,"People Are Sharing Racist Coronavirus Posts , Hoaxes And Memes",,,,
https://www.washingtonpost.com/outlook/2020/02/04/2003-sars-outbreak-fueled-anti-asian-racism-this-pandemic-doesnt-have/,,2/4/2020 11:45,The 2003 SARS outbreak fueled anti - Asian racism . This pandemic doesnt have to . ,,,,
https://www.latimes.com/entertainment-arts/story/2020-03-20/coronavirus-racism-asian-americans-celebrities,,3/20/2020 20:30,"Coronavirus : Daniel Dae Kim , Lana Condor slam anti - Asian bigotry",,,,
https://www.heraldtribune.com/opinion/20200213/being-asian-is-not-viral,,2/13/2020 11:45,Being Asian is not viral - Opinion - Sarasota Herald - Tribune,,,,
http://www.enstarz.com/articles/212460/20200327/dont-blame-asians-mark-ruffalo-cardi-b-celebs-fight-xenophobia.htm,,3/30/2020 8:30,"Dont Blame Asians : Mark Ruffalo , Cardi B , Other Celebs Fight Xenophobia Amid COVID - 19 Crisis",,,,
https://www.dailytarheel.com/article/2020/04/racism-coronavirus-0402,,4/2/2020 5:00,"  Ive heard all the stereotype : Students , alumni respond to COVID - 19 - related racism",,,,
https://wibailoutpeople.org/2020/03/31/apala-releases-guidance-on-protecting-workers-from-xenophobia-amid-coronavirus-outbreak/,,3/31/2020 22:30,APALA releases guidance on protecting workers from xenophobia amid coronavirus outbreak,,,,
https://www.npr.org/sections/coronavirus-live-updates/2020/03/27/822187627/new-site-collects-reports-of-anti-asian-american-sentiment-amid-coronavirus-pand,,3/27/2020 14:30,New Site Collects Reports Of Anti - Asian American Sentiment Amid Coronavirus Pandemic,,,,
https://www.sfexaminer.com/opinion/as-new-coronavirus-spreads-another-epidemic-looms-yellow-peril-racism/,,2/13/2020 14:00,"As new coronavirus spreads , another epidemic looms :  yellow peril  racism – The San Francisco Examiner",,,,
https://www.sfexaminer.com/opinion/as-new-coronavirus-spreads-another-epidemic-looms-yellow-peril-racism/amp/,,2/13/2020 10:00,"As new coronavirus spreads , another epidemic looms :  yellow peril  racism",,,,
https://www.thecollegefix.com/the-new-urgency-teaching-about-coronavirus-fueled-racism/,,4/3/2020 0:30,The new  urgency : teaching about coronavirus - fueled racism,,,,
https://www.alternet.org/2020/03/gop-leader-kevin-mccarthys-colleagues-demand-he-apologize-for-racist-coronavirus-tweet/,,3/12/2020 2:00,GOP leader Kevin McCarthy colleagues demand he apologize for racist coronavirus tweet,,,,
https://www.breitbart.com/tech/2020/03/30/u-of-texas-dean-saying-chinese-virus-inspires-hate-crimes/,,3/30/2020 20:00,U . of Texas Dean : Saying  Chinese Viru Inspires Hate Crimes,,,,
https://www.breitbart.com/health/2020/03/30/u-of-texas-dean-saying-chinese-virus-inspires-hate-crimes/,,3/30/2020 22:00,U . of Texas Dean : Saying  Chinese Viru Inspires Hate Crimes,,,,
https://www.highlandernews.org/37558/the-true-coronavirus-pandemic-is-the-spread-of-racism-and-xenophobia-through-the-media/,,2/11/2020 18:45,The true  coronavirus pandemic  is the spread of racism and xenophobia through the media,,,,
https://www.powerlineblog.com/archives/2020/03/civil-rights-commission-denounces-chinese-virus.php,,3/20/2020 22:15,Civil Rights Commission Denounces  Chinese Virus  ,,,,
https://bringmethenews.com/minnesota-news/hotline-to-report-discrimination-amid-covid-19-outbreak-launched-in-minnesota,,4/6/2020 17:15,Helpline to report discrimination amid COVID - 19 outbreak launched in Minnesota,,,,
https://www.oann.com/democrat-hypocrisy-chinese-virus-is-racist-russian-collusion-okay/,,4/2/2020 19:30,"Democrat Hypocrisy :  Chinese viru is  racist ,  Russian collusion  okay",,,,
https://www.salon.com/2020/03/11/colleagues-demand-gop-leader-kevin-mccarthy-apologize-for-racist-coronavirus-tweet-its-dangerous/,,3/12/2020 2:30,Colleagues demand GOP leader Kevin McCarthy apologize for racist coronavirus tweet :  It dangerous  ,,,,
﻿URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet,(GDELT ALT MEDIA)
https://archive.org/details/MSNBCW_20200412_230000_Kasie_DC#start/3359/end/3394,4/12/2020 23:56,MSNBC,Kasie DC,MSNBCW_20200412_230000_Kasie_DC,https://archive.org/download/MSNBCW_20200412_230000_Kasie_DC/MSNBCW_20200412_230000_Kasie_DC.thumbs/MSNBCW_20200412_230000_Kasie_DC_003357.jpg,"and it is not a surprise to those communities and what have you here with covid-19 is that it has exposed this really ugly nasty truth. but before we can even deal with healthcare, the healthcare system and the racial",
https://archive.org/details/MSNBCW_20200412_210000_PoliticsNation#start/2532/end/2567,4/12/2020 21:42,MSNBC,PoliticsNation,MSNBCW_20200412_210000_PoliticsNation,https://archive.org/download/MSNBCW_20200412_210000_PoliticsNation/MSNBCW_20200412_210000_PoliticsNation.thumbs/MSNBCW_20200412_210000_PoliticsNation_002519.jpg,"very strong advocate, and friends along with, as i said, 400 physicians demanding that hh secretary azar release the racial data surrounding covid-19. the letter reading in part,",
https://archive.org/details/MSNBCW_20200412_210000_PoliticsNation#start/1832/end/1867,4/12/2020 21:30,MSNBC,PoliticsNation,MSNBCW_20200412_210000_PoliticsNation,https://archive.org/download/MSNBCW_20200412_210000_PoliticsNation/MSNBCW_20200412_210000_PoliticsNation.thumbs/MSNBCW_20200412_210000_PoliticsNation_001828.jpg,"there. tara and joe, thank you for coming on with your analysis. thank you, brother. coming up, the coronavirus has underscored immense racial inequities in the health care sector, but how do we address it going forward? my next guest will try to answer",
https://archive.org/details/FOXNEWSW_20200412_190000_Americas_News_Headquarters#start/6951/end/6986,4/12/2020 20:56,FOXNEWS,Americas News Headquarters,FOXNEWSW_20200412_190000_Americas_News_Headquarters,https://archive.org/download/FOXNEWSW_20200412_190000_Americas_News_Headquarters/FOXNEWSW_20200412_190000_Americas_News_Headquarters.thumbs/FOXNEWSW_20200412_190000_Americas_News_Headquarters_006929.jpg,"especially if they just lost their home on top of all the changes they have had to make during this coronavirus pandemic. arthel? arthel: it is just too much, and i hate seeing those pictures there in monroe, louisiana. i'm sure governor edwards is on",
https://archive.org/details/MSNBCW_20200412_190000_MSNBC_Live#start/2065/end/2100,4/12/2020 19:34,MSNBC,MSNBC Live,MSNBCW_20200412_190000_MSNBC_Live,https://archive.org/download/MSNBCW_20200412_190000_MSNBC_Live/MSNBCW_20200412_190000_MSNBC_Live.thumbs/MSNBCW_20200412_190000_MSNBC_Live_002068.jpg,into. these disparities have a lot to do with systemic racism and inequitities that have been present for many years and they are present in every aspect of health care. it's not surprising that covid-19 brings out these,
https://archive.org/details/CNNW_20200412_160000_State_of_the_Union_With_Jake_Tapper#start/2892/end/2927,4/12/2020 16:48,CNN,State of the Union With Jake Tapper,CNNW_20200412_160000_State_of_the_Union_With_Jake_Tapper,https://archive.org/download/CNNW_20200412_160000_State_of_the_Union_With_Jake_Tapper/CNNW_20200412_160000_State_of_the_Union_With_Jake_Tapper.thumbs/CNNW_20200412_160000_State_of_the_Union_With_Jake_Tapper_002880.jpg,on friday where he addressed racial disparities in coronavirus cases and deaths. take a listen. the chronic burden of medical ills is likely to make people of color especially vulnerable to,
https://archive.org/details/CNNW_20200412_130000_State_of_the_Union_With_Jake_Tapper#start/2893/end/2928,4/12/2020 13:48,CNN,State of the Union With Jake Tapper,CNNW_20200412_130000_State_of_the_Union_With_Jake_Tapper,https://archive.org/download/CNNW_20200412_130000_State_of_the_Union_With_Jake_Tapper/CNNW_20200412_130000_State_of_the_Union_With_Jake_Tapper.thumbs/CNNW_20200412_130000_State_of_the_Union_With_Jake_Tapper_002878.jpg,distancing works and what the benefits of that are. i want you to take a listen to the surgeon general at the white house task force briefing on friday where he addressed racial disparities in coronavirus cases and deaths. take a listen.,
https://archive.org/details/MSNBCW_20200412_130000_Velshi#start/2250/end/2285,4/12/2020 13:37,MSNBC,Velshi,MSNBCW_20200412_130000_Velshi,https://archive.org/download/MSNBCW_20200412_130000_Velshi/MSNBCW_20200412_130000_Velshi.thumbs/MSNBCW_20200412_130000_Velshi_002248.jpg,our immigration policies in the united states. we've seen instances of xenophobia and we've seen a lot of america first talk which is fantastic from a defense perspective. it's not interesting from a virus perspective.,
https://archive.org/details/FOXNEWSW_20200412_080000_The_Greg_Gutfeld_Show#start/362/end/397,4/12/2020 8:06,FOXNEWS,The Greg Gutfeld Show,FOXNEWSW_20200412_080000_The_Greg_Gutfeld_Show,https://archive.org/download/FOXNEWSW_20200412_080000_The_Greg_Gutfeld_Show/FOXNEWSW_20200412_080000_The_Greg_Gutfeld_Show.thumbs/FOXNEWSW_20200412_080000_The_Greg_Gutfeld_Show_000359.jpg,impeachment but while the virus spread. when this is over you can pretend they were there to first sound the alarm but they were not. in fact they were busy calling people racist for sounding the alarm. and then they lied that their site did not dismiss the threat.,
https://archive.org/details/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer#start/1246/end/1281,4/12/2020 5:21,CNN,The Situation Room With Wolf Blitzer,CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer,https://archive.org/download/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer.thumbs/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer_001229.jpg,"the same racial disparity there? yes, of course we are. and sadly, this is just the latest example of health disparities. there's a saying, when americans get the cold, blacks get the flu. these health disparities have",
https://archive.org/details/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer#start/1133/end/1168,4/12/2020 5:19,CNN,The Situation Room With Wolf Blitzer,CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer,https://archive.org/download/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer.thumbs/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer_001048.jpg,"statistics out this week, breaking down the coronavirus focuses and deaths along racial lines here in the united states. in many major cities, the african-american community is suffering far more deaths than white residents. in louisiana, for example, african-americans make up about a third of the population, but",
